track_id,genre
blues.00000,blues
blues.00001,blues
blues.00002,blues
blues.00003,blues
blues.00004,blues
blues.00005,blues
blues.00006,blues
blues.00007,blues
blues.00008,blues
blues.00009,blues
blues.00010,blues
blues.00011,blues
blues.00012,blues
blues.00013,blues
blues.00014,blues
blues.00015,blues
blues.00016,blues
blues.00017,blues
blues.00018,blues
blues.00019,blues
blues.00020,blues
blues.00021,blues
blues.00022,blues
blues.00023,blues
blues.00024,blues
blues.00025,blues
blues.00026,blues
blues.00027,blues
blues.00028,blues
blues.00029,blues
blues.00030,blues
blues.00031,blues
blues.00032,blues
blues.00033,blues
blues.00034,blues
blues.00035,blues
blues.00036,blues
blues.00037,blues
blues.00038,blues
blues.00039,blues
blues.00040,blues
blues.00041,blues
blues.00042,blues
blues.00043,blues
blues.00044,blues
blues.00045,blues
blues.00046,blues
blues.00047,blues
blues.00048,blues
blues.00049,blues
blues.00050,blues
blues.00051,blues
blues.00052,blues
blues.00053,blues
blues.00054,blues
blues.00055,blues
blues.00056,blues
blues.00057,blues
blues.00058,blues
blues.00059,blues
blues.00060,blues
blues.00061,blues
blues.00062,blues
blues.00063,blues
blues.00064,blues
blues.00065,blues
blues.00066,blues
blues.00067,blues
blues.00068,blues
blues.00069,blues
blues.00070,blues
blues.00071,blues
blues.00072,blues
blues.00073,blues
blues.00074,blues
blues.00075,blues
blues.00076,blues
blues.00077,blues
blues.00078,blues
blues.00079,blues
blues.00080,blues
blues.00081,blues
blues.00082,blues
blues.00083,blues
blues.00084,blues
blues.00085,blues
blues.00086,blues
blues.00087,blues
blues.00088,blues
blues.00089,blues
blues.00090,blues
blues.00091,blues
blues.00092,blues
blues.00093,blues
blues.00094,blues
blues.00095,blues
blues.00096,blues
blues.00097,blues
blues.00098,blues
blues.00099,blues
classical.00000,classical
classical.00001,classical
classical.00002,classical
classical.00003,classical
classical.00004,classical
classical.00005,classical
classical.00006,classical
classical.00007,classical
classical.00008,classical
classical.00009,classical
classical.00010,classical
classical.00011,classical
classical.00012,classical
classical.00013,classical
classical.00014,classical
classical.00015,classical
classical.00016,classical
classical.00017,classical
classical.00018,classical
classical.00019,classical
classical.00020,classical
classical.00021,classical
classical.00022,classical
classical.00023,classical
classical.00024,classical
classical.00025,classical
classical.00026,classical
classical.00027,classical
classical.00028,classical
classical.00029,classical
classical.00030,classical
classical.00031,classical
classical.00032,classical
classical.00033,classical
classical.00034,classical
classical.00035,classical
classical.00036,classical
classical.00037,classical
classical.00038,classical
classical.00039,classical
classical.00040,classical
classical.00041,classical
classical.00042,classical
classical.00043,classical
classical.00044,classical
classical.00045,classical
classical.00046,classical
classical.00047,classical
classical.00048,classical
classical.00049,classical
classical.00050,classical
classical.00051,classical
classical.00052,classical
classical.00053,classical
classical.00054,classical
classical.00055,classical
classical.00056,classical
classical.00057,classical
classical.00058,classical
classical.00059,classical
classical.00060,classical
classical.00061,classical
classical.00062,classical
classical.00063,classical
classical.00064,classical
classical.00065,classical
classical.00066,classical
classical.00067,classical
classical.00068,classical
classical.00069,classical
classical.00070,classical
classical.00071,classical
classical.00072,classical
classical.00073,classical
classical.00074,classical
classical.00075,classical
classical.00076,classical
classical.00077,classical
classical.00078,classical
classical.00079,classical
classical.00080,classical
classical.00081,classical
classical.00082,classical
classical.00083,classical
classical.00084,classical
classical.00085,classical
classical.00086,classical
classical.00087,classical
classical.00088,classical
classical.00089,classical
classical.00090,classical
classical.00091,classical
classical.00092,classical
classical.00093,classical
classical.00094,classical
classical.00095,classical
classical.00096,classical
classical.00097,classical
classical.00098,classical
classical.00099,classical
country.00000,country
country.00001,country
country.00002,country
country.00003,country
country.00004,country
country.00005,country
country.00006,country
country.00007,country
country.00008,country
country.00009,country
country.00010,country
country.00011,country
country.00012,country
country.00013,country
country.00014,country
country.00015,country
country.00016,country
country.00017,country
country.00018,country
country.00019,country
country.00020,country
country.00021,country
country.00022,country
country.00023,country
country.00024,country
country.00025,country
country.00026,country
country.00027,country
country.00028,country
country.00029,country
country.00030,country
country.00031,country
country.00032,country
country.00033,country
country.00034,country
country.00035,country
country.00036,country
country.00037,country
country.00038,country
country.00039,country
country.00040,country
country.00041,country
country.00042,country
country.00043,country
country.00044,country
country.00045,country
country.00046,country
country.00047,country
country.00048,country
country.00049,country
country.00050,country
country.00051,country
country.00052,country
country.00053,country
country.00054,country
country.00055,country
country.00056,country
country.00057,country
country.00058,country
country.00059,country
country.00060,country
country.00061,country
country.00062,country
country.00063,country
country.00064,country
country.00065,country
country.00066,country
country.00067,country
country.00068,country
country.00069,country
country.00070,country
country.00071,country
country.00072,country
country.00073,country
country.00074,country
country.00075,country
country.00076,country
country.00077,country
country.00078,country
country.00079,country
country.00080,country
country.00081,country
country.00082,country
country.00083,country
country.00084,country
country.00085,country
country.00086,country
country.00087,country
country.00088,country
country.00089,country
country.00090,country
country.00091,country
country.00092,country
country.00093,country
country.00094,country
country.00095,country
country.00096,country
country.00097,country
country.00098,country
country.00099,country
disco.00000,disco
disco.00001,disco
disco.00002,disco
disco.00003,disco
disco.00004,disco
disco.00005,disco
disco.00006,disco
disco.00007,disco
disco.00008,disco
disco.00009,disco
disco.00010,disco
disco.00011,disco
disco.00012,disco
disco.00013,disco
disco.00014,disco
disco.00015,disco
disco.00016,disco
disco.00017,disco
disco.00018,disco
disco.00019,disco
disco.00020,disco
disco.00021,disco
disco.00022,disco
disco.00023,disco
disco.00024,disco
disco.00025,disco
disco.00026,disco
disco.00027,disco
disco.00028,disco
disco.00029,disco
disco.00030,disco
disco.00031,disco
disco.00032,disco
disco.00033,disco
disco.00034,disco
disco.00035,disco
disco.00036,disco
disco.00037,disco
disco.00038,disco
disco.00039,disco
disco.00040,disco
disco.00041,disco
disco.00042,disco
disco.00043,disco
disco.00044,disco
disco.00045,disco
disco.00046,disco
disco.00047,disco
disco.00048,disco
disco.00049,disco
disco.00050,disco
disco.00051,disco
disco.00052,disco
disco.00053,disco
disco.00054,disco
disco.00055,disco
disco.00056,disco
disco.00057,disco
disco.00058,disco
disco.00059,disco
disco.00060,disco
disco.00061,disco
disco.00062,disco
disco.00063,disco
disco.00064,disco
disco.00065,disco
disco.00066,disco
disco.00067,disco
disco.00068,disco
disco.00069,disco
disco.00070,disco
disco.00071,disco
disco.00072,disco
disco.00073,disco
disco.00074,disco
disco.00075,disco
disco.00076,disco
disco.00077,disco
disco.00078,disco
disco.00079,disco
disco.00080,disco
disco.00081,disco
disco.00082,disco
disco.00083,disco
disco.00084,disco
disco.00085,disco
disco.00086,disco
disco.00087,disco
disco.00088,disco
disco.00089,disco
disco.00090,disco
disco.00091,disco
disco.00092,disco
disco.00093,disco
disco.00094,disco
disco.00095,disco
disco.00096,disco
disco.00097,disco
disco.00098,disco
disco.00099,disco
hiphop.00000,hiphop
hiphop.00001,hiphop
hiphop.00002,hiphop
hiphop.00003,hiphop
hiphop.00004,hiphop
hiphop.00005,hiphop
hiphop.00006,hiphop
hiphop.00007,hiphop
hiphop.00008,hiphop
hiphop.00009,hiphop
hiphop.00010,hiphop
hiphop.00011,hiphop
hiphop.00012,hiphop
hiphop.00013,hiphop
hiphop.00014,hiphop
hiphop.00015,hiphop
hiphop.00016,hiphop
hiphop.00017,hiphop
hiphop.00018,hiphop
hiphop.00019,hiphop
hiphop.00020,hiphop
hiphop.00021,hiphop
hiphop.00022,hiphop
hiphop.00023,hiphop
hiphop.00024,hiphop
hiphop.00025,hiphop
hiphop.00026,hiphop
hiphop.00027,hiphop
hiphop.00028,hiphop
hiphop.00029,hiphop
hiphop.00030,hiphop
hiphop.00031,hiphop
hiphop.00032,hiphop
hiphop.00033,hiphop
hiphop.00034,hiphop
hiphop.00035,hiphop
hiphop.00036,hiphop
hiphop.00037,hiphop
hiphop.00038,hiphop
hiphop.00039,hiphop
hiphop.00040,hiphop
hiphop.00041,hiphop
hiphop.00042,hiphop
hiphop.00043,hiphop
hiphop.00044,hiphop
hiphop.00045,hiphop
hiphop.00046,hiphop
hiphop.00047,hiphop
hiphop.00048,hiphop
hiphop.00049,hiphop
hiphop.00050,hiphop
hiphop.00051,hiphop
hiphop.00052,hiphop
hiphop.00053,hiphop
hiphop.00054,hiphop
hiphop.00055,hiphop
hiphop.00056,hiphop
hiphop.00057,hiphop
hiphop.00058,hiphop
hiphop.00059,hiphop
hiphop.00060,hiphop
hiphop.00061,hiphop
hiphop.00062,hiphop
hiphop.00063,hiphop
hiphop.00064,hiphop
hiphop.00065,hiphop
hiphop.00066,hiphop
hiphop.00067,hiphop
hiphop.00068,hiphop
hiphop.00069,hiphop
hiphop.00070,hiphop
hiphop.00071,hiphop
hiphop.00072,hiphop
hiphop.00073,hiphop
hiphop.00074,hiphop
hiphop.00075,hiphop
hiphop.00076,hiphop
hiphop.00077,hiphop
hiphop.00078,hiphop
hiphop.00079,hiphop
hiphop.00080,hiphop
hiphop.00081,hiphop
hiphop.00082,hiphop
hiphop.00083,hiphop
